"","quadrat","Group"
"1","0101",2
"2","0102",3
"3","0103",2
"4","0104",NA
"5","0105",NA
"6","0106",2
"7","0107",2
"8","0108",3
"9","0109",2
"10","0110",2
"11","0111",2
"12","0112",3
"13","0113",2
"14","0114",2
"15","0115",2
"16","0116",2
"17","0117",2
"18","0118",2
"19","0119",2
"20","0120",2
"21","0121",2
"22","0122",NA
"23","0123",NA
"24","0124",NA
"25","0125",NA
"26","0126",NA
"27","0127",NA
"28","0128",NA
"29","0129",NA
"30","0130",2
"31","0131",2
"32","0132",2
"33","0201",3
"34","0202",3
"35","0203",NA
"36","0204",NA
"37","0205",NA
"38","0206",NA
"39","0207",NA
"40","0208",3
"41","0209",2
"42","0210",2
"43","0211",3
"44","0212",2
"45","0213",2
"46","0214",2
"47","0215",2
"48","0216",2
"49","0217",2
"50","0218",2
"51","0219",2
"52","0220",NA
"53","0221",NA
"54","0222",NA
"55","0223",2
"56","0224",2
"57","0225",2
"58","0226",2
"59","0227",2
"60","0228",2
"61","0229",2
"62","0230",2
"63","0231",2
"64","0232",2
"65","0301",NA
"66","0302",NA
"67","0303",NA
"68","0304",1
"69","0305",2
"70","0306",2
"71","0307",NA
"72","0308",NA
"73","0309",NA
"74","0310",NA
"75","0311",2
"76","0312",3
"77","0313",2
"78","0314",2
"79","0315",2
"80","0316",2
"81","0317",NA
"82","0318",NA
"83","0319",NA
"84","0320",NA
"85","0321",NA
"86","0322",2
"87","0323",2
"88","0324",2
"89","0325",2
"90","0326",2
"91","0327",2
"92","0328",2
"93","0329",2
"94","0330",2
"95","0331",2
"96","0332",2
"97","0401",NA
"98","0402",2
"99","0403",2
"100","0404",1
"101","0405",1
"102","0406",1
"103","0407",2
"104","0408",2
"105","0409",2
"106","0410",NA
"107","0411",NA
"108","0412",NA
"109","0413",NA
"110","0414",NA
"111","0415",NA
"112","0416",NA
"113","0417",NA
"114","0418",NA
"115","0419",NA
"116","0420",NA
"117","0421",2
"118","0422",2
"119","0423",2
"120","0424",2
"121","0425",2
"122","0426",2
"123","0427",2
"124","0428",2
"125","0429",2
"126","0430",2
"127","0431",2
"128","0432",2
"129","0501",NA
"130","0502",3
"131","0503",1
"132","0504",1
"133","0505",1
"134","0506",1
"135","0507",1
"136","0508",2
"137","0509",2
"138","0510",2
"139","0511",2
"140","0512",2
"141","0513",NA
"142","0514",NA
"143","0515",NA
"144","0516",NA
"145","0517",NA
"146","0518",2
"147","0519",2
"148","0520",2
"149","0521",2
"150","0522",2
"151","0523",2
"152","0524",2
"153","0525",2
"154","0526",2
"155","0527",2
"156","0528",2
"157","0529",2
"158","0530",2
"159","0531",2
"160","0532",2
"161","0601",NA
"162","0602",2
"163","0603",1
"164","0604",1
"165","0605",1
"166","0606",1
"167","0607",1
"168","0608",1
"169","0609",1
"170","0610",1
"171","0611",2
"172","0612",2
"173","0613",2
"174","0614",3
"175","0615",NA
"176","0616",NA
"177","0617",2
"178","0618",2
"179","0619",2
"180","0620",2
"181","0621",2
"182","0622",2
"183","0623",2
"184","0624",2
"185","0625",2
"186","0626",2
"187","0627",2
"188","0628",2
"189","0629",2
"190","0630",2
"191","0631",2
"192","0632",2
"193","0701",NA
"194","0702",2
"195","0703",1
"196","0704",1
"197","0705",1
"198","0706",1
"199","0707",1
"200","0708",1
"201","0709",1
"202","0710",1
"203","0711",1
"204","0712",1
"205","0713",2
"206","0714",2
"207","0715",NA
"208","0716",NA
"209","0717",2
"210","0718",2
"211","0719",2
"212","0720",2
"213","0721",2
"214","0722",2
"215","0723",2
