"","sp","quadrat","AWR_yr","n_stems_yr"
"1","acne","0101",0.000431347283264499,1.66666666666667
"2","acne","0102",0.000741054634578271,2.33333333333333
"3","acne","0104",0.000216780329908554,0.333333333333333
"4","acne","0105",0.000422632963607293,0.933333333333333
"5","acne","0106",1.68711505573035e-05,0.133333333333333
"6","acne","0107",1.67501461245299e-05,0.0666666666666667
"7","acne","0201",0.000246096795055467,0.4
"8","acne","0203",5.68868434647684e-05,0.0666666666666667
"9","acne","0204",3.02070990992301e-06,0.0666666666666667
"10","acne","0205",0.000104839589001462,0.266666666666667
"11","acne","0206",7.93457249947197e-05,0.466666666666667
"12","acne","0207",2.4586847099507e-05,0.133333333333333
"13","acne","0208",0.000118567475880133,0.0666666666666667
"14","acne","0301",2.15457719290813e-05,0.133333333333333
"15","acne","0307",1.05400269553008e-05,0.133333333333333
"16","acne","0308",0.000178557889870069,0.4
"17","acne","0401",6.0866418377152e-06,0.0666666666666667
"18","acne","0402",2.49939066984814e-05,0.266666666666667
"19","acne","0404",5.60523538520061e-06,0.133333333333333
"20","acne","0407",3.44332493206129e-06,0.0666666666666667
"21","acne","0807",4.22397686546012e-06,0.0666666666666667
"22","acne","0908",2.16191045313932e-06,0.0666666666666667
"23","acne","0924",5.10370073165138e-06,0.0666666666666667
"24","acne","1303",3.74396823091326e-06,0.0666666666666667
"25","acne","1311",6.0866418377152e-06,0.0666666666666667
"26","acne","1408",2.16191045313932e-06,0.0666666666666667
"27","acne","1411",1.34198799783707e-05,0.2
"28","acne","1419",2.23259132517917e-05,0.266666666666667
"29","acne","1509",8.84766896256465e-06,0.133333333333333
"30","acne","1510",2.63126491401345e-06,0.0666666666666667
"31","acne","1721",5.2919013074446e-06,0.0666666666666667
"32","acne","1814",7.17681490066308e-06,0.0666666666666667
"33","acne","2027",3.49964777037119e-05,0.2
"34","acpl","0403",5.10370073165138e-06,0.0666666666666667
"35","acpl","0904",5.38756017765979e-06,0.0666666666666667
"36","acpl","1010",6.88664986412258e-06,0.133333333333333
"37","acpl","1206",1.43689570284182e-05,0.0666666666666667
"38","acpl","1306",1.11291628722656e-05,0.0666666666666667
"39","acpl","1310",5.10370073165138e-06,0.0666666666666667
"40","acpl","1410",4.22397686546012e-06,0.0666666666666667
"41","acru","0103",1.07012924872205e-05,0.133333333333333
"42","acru","0107",6.01013934202167e-05,0.0666666666666667
"43","acru","0209",1.76465171259173e-05,0.0666666666666667
"44","acru","0404",3.47095623093011e-06,0.0666666666666667
"45","acru","0411",3.59388594126527e-05,0.0666666666666667
"46","acru","0430",3.88115807707638e-05,0.2
"47","acru","0508",2.78005475110221e-06,0.0666666666666667
"48","acru","0516",8.62140197670715e-05,0.133333333333333
"49","acru","0604",4.36007244770547e-06,0.133333333333333
"50","acru","0705",4.25720600690726e-06,0.0666666666666667
"51","acru","0715",2.78005475110221e-06,0.0666666666666667
"52","acru","1005",2.40943093811756e-06,0.0666666666666667
"53","acru","1129",3.9074243922503e-05,0.0666666666666667
"54","acru","1812",2.54401090957448e-05,0.0666666666666667
"55","acru","2021",0.000153474843135357,0.0666666666666667
"56","acsp","0207",3.22781100912143e-06,0.0666666666666667
"57","acsp","0403",9.69433565664039e-06,0.0666666666666667
"58","acsp","0812",2.16191045313932e-06,0.0666666666666667
"59","acsp","1110",2.75745418026362e-06,0.0666666666666667
"60","aial","1701",6.74527740599576e-05,0.0666666666666667
"61","amar","0104",1.85358637233298e-05,0.333333333333333
"62","amar","0202",1.06942535106544e-05,0.133333333333333
"63","amar","0304",3.19930648864205e-05,0.6
"64","amar","0317",6.02010663013439e-05,0.133333333333333
"65","amar","0403",2.42038221296376e-05,0.266666666666667
"66","amar","0404",7.67916082738391e-05,0.733333333333333
"67","amar","0405",3.91619792434121e-06,0.133333333333333
"68","amar","0430",5.20957966050831e-05,0.133333333333333
"69","amar","0502",1.52472573050211e-05,0.333333333333333
"70","amar","0503",4.89253786296343e-05,0.466666666666667
"71","amar","0504",1.01204821584103e-05,0.2
"72","amar","0505",1.67787829657745e-05,0.4
"73","amar","0603",2.07660932965294e-05,0.466666666666667
"74","amar","0604",1.194453921445e-05,0.133333333333333
"75","amar","0606",2.30327786851762e-05,0.4
"76","amar","0608",1.18128767738424e-05,0.2
"77","amar","0609",1.60679348881915e-05,0.2
"78","amar","0702",3.46493400117347e-06,0.0666666666666667
"79","amar","0703",3.13287811850838e-05,0.4
"80","amar","0704",3.53627263896884e-06,0.0666666666666667
"81","amar","0713",6.10627904638875e-06,0.0666666666666667
"82","amar","0717",3.83054008915307e-06,0.0666666666666667
"83","amar","0804",2.49863011392875e-06,0.0666666666666667
"84","amar","0805",5.06471371572863e-06,0.0666666666666667
"85","amar","0812",2.27278196647651e-06,0.0666666666666667
"86","amar","0818",4.80100835248625e-06,0.0666666666666667
"87","amar","0821",7.1845384867188e-05,0.0666666666666667
"88","amar","1002",7.6074411052576e-06,0.0666666666666667
"89","amar","1013",9.35579263460843e-06,0.2
"90","amar","1119",1.01107711920564e-05,0.0666666666666667
"91","astr","0103",9.12060242481797e-05,0.466666666666667
"92","astr","0104",9.81943256702108e-05,0.6
"93","astr","0108",3.61861211904086e-05,0.0666666666666667
"94","astr","0112",2.82158735239215e-06,0.0666666666666667
"95","astr","0113",8.11104192056205e-05,1.13333333333333
"96","astr","0116",0.000262387044672125,0.933333333333333
"97","astr","0119",8.45503352577415e-05,0.533333333333333
"98","astr","0123",8.29926866981368e-05,0.266666666666667
"99","astr","0124",4.53691245569396e-05,0.333333333333333
"100","astr","0125",4.98382395302668e-05,0.533333333333333
"101","astr","0128",2.02806394837541e-05,0.4
"102","astr","0129",0.000237536047332759,2.2
"103","astr","0130",2.44529273992359e-05,0.333333333333333
"104","astr","0131",0.000110318641675918,1.13333333333333
"105","astr","0132",0.00121675567888483,10.6
"106","astr","0203",4.21104245390396e-05,0.133333333333333
"107","astr","0210",0.000115545706004275,0.266666666666667
"108","astr","0212",6.34750201150668e-05,0.8
"109","astr","0213",6.83042960441092e-05,0.533333333333333
"110","astr","0219",1.83960845626791e-05,0.2
"111","astr","0222",2.40392592674634e-05,0.333333333333333
"112","astr","0223",0.000110383893153374,1.06666666666667
"113","astr","0225",2.82158735239215e-06,0.0666666666666667
"114","astr","0228",4.43305400326964e-06,0.0666666666666667
"115","astr","0229",0.000265085894100586,3.53333333333333
"116","astr","0230",0.000152349543432414,1.6
"117","astr","0232",0.000282024639715399,2.53333333333333
"118","astr","0303",4.65669520075273e-05,0.0666666666666667
"119","astr","0307",4.52032209464791e-05,0.266666666666667
"120","astr","0308",6.49524906292354e-06,0.0666666666666667
"121","astr","0309",8.83178558606549e-05,1
"122","astr","0310",1.97111303850337e-05,0.333333333333333
"123","astr","0311",5.03784616598523e-05,0.0666666666666667
"124","astr","0312",7.57958732570779e-06,0.0666666666666667
"125","astr","0313",8.9374723728467e-05,0.866666666666667
"126","astr","0317",2.08431380663886e-05,0.266666666666667
"127","astr","0318",1.33301000583202e-05,0.133333333333333
"128","astr","0320",0.000309091445811542,2.8
"129","astr","0321",6.29641479313596e-05,0.666666666666667
"130","astr","0322",2.27287772271799e-05,0.133333333333333
"131","astr","0323",9.98867386019889e-05,1.13333333333333
"132","astr","0329",0.000133849282112939,1.8
"133","astr","0330",0.000220273464935995,1.66666666666667
"134","astr","0401",1.33301000583202e-05,0.133333333333333
"135","astr","0403",2.89593241457218e-05,0.2
"136","astr","0408",2.67328115435785e-05,0.266666666666667
"137","astr","0409",3.82130868608649e-05,0.533333333333333
"138","astr","0410",0.000217223305586703,2.4
"139","astr","0411",0.000309606308098073,2.06666666666667
"140","astr","0412",0.000106357042965482,0.866666666666667
"141","astr","0420",4.1839990567268e-05,0.333333333333333
